Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Bulgaria,BGR,2018,4,0,2,2,0,0,0,0,0,"9,446.70"
Bulgaria,BGR,2019,4,0,2,2,0,0,0,0,0,"9,879.27"
Burkina Faso,BFA,2015,7925,2945,1520,7941,19,448,341,6019,427,653.33
Burkina Faso,BFA,2016,8296,3080,1569,8307,20,454,347,6295,437,688.25
Burkina Faso,BFA,2017,8568,3182,1634,8583,21,463,355,6502,443,735.00
Burkina Faso,BFA,2018,8306,3086,1621,8324,20,449,346,6305,424,804.50
Burkina Faso,BFA,2019,7896,2937,1587,7922,19,430,332,5998,398,796.12
Burundi,BDI,2015,5099,2099,564,5498,130,344,257,4094,243,305.51
Burundi,BDI,2016,4629,1919,508,5028,116,343,257,3743,218,251.65
Burundi,BDI,2017,4368,1820,482,4768,107,347,261,3549,202,250.51
Burundi,BDI,2018,4596,1907,495,4995,114,348,263,3717,212,238.03
Burundi,BDI,2019,4493,1868,484,4894,112,348,265,3640,207,223.86
Cambodia,KHM,2015,358,64,86,354,1,29,18,224,13,"1,162.90"
Cambodia,KHM,2016,334,59,80,330,1,27,17,205,12,"1,269.59"
Cambodia,KHM,2017,321,56,77,317,1,27,16,194,11,"1,385.26"
Cambodia,KHM,2018,287,49,69,283,1,24,15,170,9,"1,512.13"
Cambodia,KHM,2019,256,43,62,252,1,21,13,149,8,"1,643.12"
Cameroon,CMR,2015,12078,5089,3158,13679,52,710,615,9692,613,"1,382.51"
Cameroon,CMR,2016,12513,5253,3155,14125,55,689,600,9965,618,"1,413.26"
Cameroon,CMR,2017,12071,5069,3025,13632,53,669,585,9573,580,"1,469.45"
Cameroon,CMR,2018,10952,4600,2772,12373,47,617,544,8646,515,"1,585.24"
Cameroon,CMR,2019,10099,4246,2590,11420,43,577,514,7946,468,"1,533.10"
Canada,CAN,2015,5,0,3,0,0,1,1,0,0,"43,596.14"
Canada,CAN,2016,4,0,3,0,0,1,1,0,0,"42,315.60"
Canada,CAN,2017,4,0,3,0,0,1,1,0,0,"45,129.43"
Canada,CAN,2018,4,0,3,0,0,1,1,0,0,"46,548.64"
Canada,CAN,2019,4,0,3,0,0,1,1,0,0,"46,328.67"
Central African Republic,CAF,2015,4422,1759,1164,4907,53,318,232,3679,365,377.42
Central African Republic,CAF,2016,4519,1802,1201,5026,57,334,244,3769,372,402.19
Central African Republic,CAF,2017,4563,1818,1204,5072,61,335,244,3802,374,450.90
Central African Republic,CAF,2018,4363,1740,1157,4853,61,321,234,3637,357,475.95
Central African Republic,CAF,2019,4245,1695,1136,4727,60,315,230,3542,346,468.12
Chad,TCD,2015,21532,8175,5415,22073,53,1050,816,16709,1574,776.02
Chad,TCD,2016,21641,8219,5449,22196,54,1052,823,16791,1550,693.45
Chad,TCD,2017,21946,8336,5519,22516,56,1064,836,17021,1540,665.95
Chad,TCD,2018,21511,8170,5416,22070,55,1049,819,16673,1484,726.15
Chad,TCD,2019,21288,8084,5358,21837,56,1051,809,16491,1448,709.54
Chile,CHL,2015,4,0,2,3,0,1,1,2,0,"13,495.01"
Chile,CHL,2016,4,0,2,2,0,1,1,1,0,"13,690.91"
Chile,CHL,2017,4,0,2,2,0,1,1,1,0,"14,962.56"
Chile,CHL,2018,3,0,2,2,0,1,1,1,0,"15,772.33"
Chile,CHL,2019,3,0,2,2,0,1,1,1,0,"14,699.46"
China,CHN,2015,1227,155,515,1233,1,77,54,804,16,"8,016.43"
China,CHN,2016,1261,158,538,1263,1,81,57,826,16,"8,094.36"
China,CHN,2017,1236,145,500,1203,1,73,52,768,15,"8,816.99"
China,CHN,2018,1044,115,409,995,1,61,43,616,11,"9,905.34"
China,CHN,2019,933,99,363,875,1,55,39,531,9,"10,143.84"
Colombia,COL,2015,164,31,75,182,1,15,10,45,2,"6,175.88"
Colombia,COL,2016,151,28,69,165,1,14,9,40,1,"5,870.78"
Colombia,COL,2017,146,26,67,158,1,13,9,37,1,"6,376.71"
Colombia,COL,2018,142,25,65,152,1,13,8,35,1,"6,729.58"
Colombia,COL,2019,137,24,63,146,1,12,8,33,1,"6,418.62"
Comoros,COM,2015,93,36,29,94,1,8,6,72,4,"1,242.59"
Comoros,COM,2016,86,33,27,87,1,7,6,67,4,"1,273.05"
Comoros,COM,2017,83,32,25,84,1,7,6,65,3,"1,323.81"
Comoros,COM,2018,73,28,23,74,1,6,5,57,3,"1,428.29"
Comoros,COM,2019,64,25,20,65,1,6,5,50,2,"1,404.43"
Costa Rica,CRI,2015,6,1,3,6,0,0,0,1,0,"11,642.78"
Costa Rica,CRI,2016,7,1,3,5,0,0,0,0,0,"12,011.22"
Costa Rica,CRI,2017,6,1,3,5,0,0,0,0,0,"12,225.57"
Costa Rica,CRI,2018,6,1,2,4,0,0,0,0,0,"12,485.42"
Costa Rica,CRI,2019,5,1,2,4,0,0,0,0,0,"12,762.14"
Cote d'Ivoire,CIV,2015,4614,1820,1023,4976,31,399,311,3515,220,"1,972.55"
Cote d'Ivoire,CIV,2016,4210,1662,932,4548,28,373,292,3197,192,"2,013.38"
Cote d'Ivoire,CIV,2017,3813,1506,853,4124,24,343,269,2886,165,"2,111.03"
Cote d'Ivoire,CIV,2018,3445,1357,777,3719,21,306,241,2589,144,"2,314.05"
Cote d'Ivoire,CIV,2019,3062,1205,704,3306,18,273,217,2290,124,"2,276.33"
Croatia,HRV,2015,1,0,1,1,0,0,0,0,0,"11,933.38"
Croatia,HRV,2016,1,0,1,1,0,0,0,0,0,"12,527.74"
Croatia,HRV,2017,1,0,0,0,0,0,0,0,0,"13,629.29"
Croatia,HRV,2018,1,0,0,0,0,0,0,0,0,"15,227.56"
Croatia,HRV,2019,1,0,0,0,0,0,0,0,0,"15,311.77"
Cuba,CUB,2015,7,1,4,9,0,1,1,3,0,"7,694.01"
Cuba,CUB,2016,6,1,4,8,0,1,1,3,0,"8,060.80"
Cuba,CUB,2017,6,1,3,8,0,1,0,3,0,"8,541.21"
Cuba,CUB,2018,5,1,3,6,0,1,0,2,0,"8,824.19"
Cuba,CUB,2019,4,1,3,6,0,1,0,2,0,"9,125.88"
Cyprus,CYP,2015,0,0,0,0,0,0,0,0,0,"23,408.34"
Cyprus,CYP,2016,0,0,0,0,0,0,0,0,0,"24,605.92"
Cyprus,CYP,2017,0,0,0,0,0,0,0,0,0,"26,608.88"
Cyprus,CYP,2018,0,0,0,0,0,0,0,0,0,"29,334.11"
Cyprus,CYP,2019,0,0,0,0,0,0,0,0,0,"29,206.08"
Denmark,DNK,2015,1,0,1,0,0,0,0,0,0,"53,254.86"
Denmark,DNK,2016,1,0,1,0,0,0,0,0,0,"54,664.00"
Denmark,DNK,2017,1,0,1,0,0,0,0,0,0,"57,610.10"
Denmark,DNK,2018,1,0,1,0,0,0,0,0,0,"61,591.93"
Denmark,DNK,2019,1,0,1,0,0,0,0,0,0,"59,775.74"
Djibouti,DJI,2015,118,44,34,116,1,7,6,84,4,"2,652.51"
Djibouti,DJI,2016,121,45,33,119,1,7,6,85,4,"2,803.69"
Djibouti,DJI,2017,118,43,32,116,1,7,6,83,4,"2,926.15"
Djibouti,DJI,2018,107,39,29,105,1,6,5,75,3,"3,038.27"
Djibouti,DJI,2019,99,36,27,97,1,6,5,68,3,"3,172.75"
Dominica,DMA,2015,0,0,0,0,0,0,0,0,0,"7,597.29"
Dominica,DMA,2016,0,0,0,0,0,0,0,0,0,"8,080.97"
Dominica,DMA,2017,0,0,0,0,0,0,0,0,0,"7,298.51"
Dominica,DMA,2018,0,0,0,0,0,0,0,0,0,"7,745.38"
Dominica,DMA,2019,0,0,0,0,0,0,0,0,0,"8,516.28"
Dominican Republic,DOM,2015,166,69,102,227,1,21,14,89,2,"6,921.52"
Dominican Republic,DOM,2016,167,70,103,230,1,21,14,87,2,"7,280.88"
Dominican Republic,DOM,2017,151,62,93,208,1,20,13,75,2,"7,609.35"
Dominican Republic,DOM,2018,146,60,89,201,1,19,13,71,2,"8,050.64"
Dominican Republic,DOM,2019,141,58,86,196,1,19,13,67,2,"8,282.12"
Ecuador,ECU,2015,71,13,24,69,1,5,3,27,1,"6,124.49"
Ecuador,ECU,2016,66,12,22,64,1,5,3,24,1,"6,060.09"
Ecuador,ECU,2017,65,12,22,63,1,5,3,23,1,"6,213.50"
Ecuador,ECU,2018,64,12,21,62,1,5,3,22,1,"6,295.93"
Ecuador,ECU,2019,65,12,22,62,1,5,3,22,1,"6,222.52"
El Salvador,SLV,2015,43,11,18,54,0,3,2,34,1,"3,705.58"
El Salvador,SLV,2016,41,10,18,51,0,3,2,32,1,"3,806.00"
El Salvador,SLV,2017,40,10,17,50,0,3,2,31,1,"3,910.25"
El Salvador,SLV,2018,38,9,16,47,0,2,2,28,1,"4,052.62"
El Salvador,SLV,2019,36,9,16,45,0,2,1,27,1,"4,167.73"
Equatorial Guinea,GNQ,2015,33,13,12,36,0,3,2,15,0,"11,283.40"
Equatorial Guinea,GNQ,2016,31,12,11,33,0,2,2,13,0,"9,250.32"
Equatorial Guinea,GNQ,2017,30,12,11,32,0,2,2,12,0,"9,667.86"
Equatorial Guinea,GNQ,2018,29,11,10,31,0,2,2,11,0,"10,005.62"
Equatorial Guinea,GNQ,2019,28,11,10,29,0,2,2,10,0,"8,380.74"
